Network,Acc.(%),Time(ms),Gain,Thrshld.T,Exit(%)
B-resnet(100),67.35000062868,2.243244624137878,1.5315254205511346,"{0.025, 3.0}","{66.99, 33.01, 0.0}"
B-resnet(100),67.35000062868,2.304323840141296,1.4909302705348797,"{0.025, 5.0}","{66.99, 33.01, 0.0}"
B-resnet(100),67.35000062868,2.2650479793548586,1.5167829545758122,"{0.025, 10.0}","{66.99, 33.01, 0.0}"
B-resnet(100),69.00000058412552,3.3580773353576663,1.023081312097273,"{0.05, 0.0001}","{71.18, 13.51, 15.31}"
B-resnet(100),68.90000058218837,3.3732022523880003,1.0184939737751189,"{0.05, 0.0005}","{71.18, 15.1, 13.72}"
B-resnet(100),68.8600005787611,3.2376532554626465,1.0611346846933754,"{0.05, 0.001}","{71.18, 15.76, 13.06}"
B-resnet(100),68.51000059142709,3.30450336933136,1.0396679265837756,"{0.05, 0.005}","{71.18, 17.96, 10.86}"
B-resnet(100),68.47000058770179,3.1334707021713255,1.0964156020355194,"{0.05, 0.01}","{71.18, 18.97, 9.85}"
B-resnet(100),68.38000060588122,3.3345683336257936,1.030294125850527,"{0.05, 0.025}","{71.18, 20.29, 8.53}"
B-resnet(100),68.1700006133318,3.0347641706466675,1.132076818229259,"{0.05, 0.05}","{71.18, 21.26, 7.56}"
B-resnet(100),67.97000061199068,3.1191253900527958,1.1014581771346112,"{0.05, 0.075}","{71.18, 21.96, 6.86}"
B-resnet(100),67.80000061184168,3.037784147262573,1.1309513776605005,"{0.05, 0.1}","{71.18, 22.62, 6.2}"
B-resnet(100),67.42000062525271,2.811685585975647,1.2218955716521545,"{0.05, 0.25}","{71.18, 24.44, 4.38}"
B-resnet(100),67.13000063702465,2.7552125453948975,1.2469405208408058,"{0.05, 0.5}","{71.18, 25.98, 2.84}"
B-resnet(100),66.82000065952539,2.326987862586975,1.476409147472906,"{0.05, 0.75}","{71.18, 28.25, 0.57}"
B-resnet(100),66.73000067010521,2.2642724275588986,1.5173024785209812,"{0.05, 1.0}","{71.18, 28.68, 0.14}"
B-resnet(100),66.71000067546964,2.3085779428482054,1.488182877699674,"{0.05, 2.0}","{71.18, 28.82, 0.0}"
B-resnet(100),66.71000067546964,2.2169294595718383,1.5497047736671603,"{0.05, 3.0}","{71.18, 28.82, 0.0}"
B-resnet(100),66.71000067546964,2.408260273933411,1.4265842457179654,"{0.05, 5.0}","{71.18, 28.82, 0.0}"
B-resnet(100),66.71000067546964,2.300906610488892,1.493144550378709,"{0.05, 10.0}","{71.18, 28.82, 0.0}"
B-resnet(100),68.31000065103173,3.2494028329849245,1.0572977075993628,"{0.075, 0.0001}","{73.71, 12.26, 14.03}"
B-resnet(100),68.16000065028668,3.3820006608963014,1.0158443214116146,"{0.075, 0.0005}","{73.71, 13.79, 12.5}"
B-resnet(100),68.08000064834953,3.2073614597320557,1.071156528353635,"{0.075, 0.001}","{73.71, 14.44, 11.85}"
B-resnet(100),67.88000065550209,3.2660548210144045,1.0519070728012998,"{0.075, 0.005}","{73.71, 16.34, 9.95}"
B-resnet(100),67.86000065088272,3.1005831003189086,1.1080451822202315,"{0.075, 0.01}","{73.71, 17.27, 9.02}"
B-resnet(100),67.74000067308546,3.1818265199661253,1.0797528227335322,"{0.075, 0.025}","{73.71, 18.51, 7.78}"
B-resnet(100),67.44000068247318,2.9881871223449705,1.1497225661309223,"{0.075, 0.05}","{73.71, 19.54, 6.75}"
B-resnet(100),67.28000068470836,3.1034510850906374,1.1070212070964534,"{0.075, 0.075}","{73.71, 20.14, 6.15}"
B-resnet(100),67.20000068753957,3.019637560844421,1.1377478578657956,"{0.075, 0.1}","{73.71, 20.77, 5.52}"
B-resnet(100),67.04000070482492,2.762209630012512,1.2437818364880127,"{0.075, 0.25}","{73.71, 22.32, 3.97}"
B-resnet(100),66.75000071585178,2.7153756856918334,1.2652341937379117,"{0.075, 0.5}","{73.71, 23.85, 2.44}"
B-resnet(100),66.55000073164702,2.319879269599914,1.4809331724294152,"{0.075, 0.75}","{73.71, 25.73, 0.56}"
B-resnet(100),66.450000744164,2.235203528404236,1.537035049705107,"{0.075, 1.0}","{73.71, 26.17, 0.12}"
B-resnet(100),66.43000074878334,2.3330570936203,1.4725684063953601,"{0.075, 2.0}","{73.71, 26.29, 0.0}"
B-resnet(100),66.43000074878334,2.2042248725891116,1.55863687462448,"{0.075, 3.0}","{73.71, 26.29, 0.0}"
B-resnet(100),66.43000074878334,2.2221768856048585,1.5460453164810493,"{0.075, 5.0}","{73.71, 26.29, 0.0}"
B-resnet(100),66.43000074878334,2.3461558103561404,1.4643469761116685,"{0.075, 10.0}","{73.71, 26.29, 0.0}"
B-resnet(100),67.64000068470835,3.3905807971954345,1.0132736459852625,"{0.1, 0.0001}","{75.81, 11.32, 12.87}"
B-resnet(100),67.4900006750226,3.3264045238494875,1.0328227194706907,"{0.1, 0.0005}","{75.81, 12.75, 11.44}"
B-resnet(100),67.44000067576766,3.1909198045730593,1.0766758103598006,"{0.1, 0.001}","{75.81, 13.33, 10.86}"
B-resnet(100),67.28000068485737,3.2822099208831785,1.0467295661142193,"{0.1, 0.005}","{75.81, 15.08, 9.11}"
